2455823.47287   0.01296 0.00633 optical NITES
2455823.47299   0.02262 0.00644 optical NITES
2455823.47312   0.01840 0.00640 optical NITES
2455823.47325   0.02795 0.00655 optical NITES
2455823.47339   0.01958 0.00644 optical NITES
2455823.47352   0.02394 0.00651 optical NITES
2455823.47364   0.02315 0.00648 optical NITES
2455823.47377   0.02298 0.00648 optical NITES
2455823.47390   0.01956 0.00644 optical NITES
2455823.47402   0.02066 0.00648 optical NITES
2455823.47415   0.02940 0.00658 optical NITES
2455823.47428   0.02503 0.00651 optical NITES
2455823.47442   0.02673 0.00658 optical NITES
2455823.47455   0.02246 0.00651 optical NITES
2455823.47467   0.00719 0.00630 optical NITES
2455823.47480   0.02667 0.00655 optical NITES
2455823.47493   0.02546 0.00651 optical NITES
2455823.47505   0.01296 0.00633 optical NITES
2455823.47518   0.02587 0.00651 optical NITES
2455823.47532   0.01732 0.00637 optical NITES
2455823.47545   0.03217 0.00658 optical NITES
2455823.47558   0.02593 0.00676 optical NITES
2455823.47570   0.01734 0.00640 optical NITES
2455823.47583   0.04398 0.00676 optical NITES
2455823.47596   0.02363 0.00655 optical NITES
2455823.47608   0.02144 0.00648 optical NITES
2455823.47621   0.02755 0.00651 optical NITES
2455823.47635   0.02689 0.00651 optical NITES
2455823.47648   0.03166 0.00658 optical NITES
2455823.47661   0.02568 0.00658 optical NITES
2455823.47673   0.01190 0.00637 optical NITES
2455823.47686   0.02321 0.00648 optical NITES
2455823.47699   0.02457 0.00651 optical NITES
2455823.47711   0.02103 0.00648 optical NITES
2455823.47725   0.02274 0.00648 optical NITES
2455823.47738   0.02782 0.00658 optical NITES
2455823.47751   0.01295 0.00644 optical NITES
2455823.47764   0.03545 0.00665 optical NITES
2455823.47776   0.02438 0.00655 optical NITES
2455823.47789   0.01972 0.00644 optical NITES
2455823.47802   0.03703 0.00665 optical NITES
2455823.47814   0.01555 0.00640 optical NITES
2455823.47828   0.03346 0.00662 optical NITES
2455823.47841   0.01884 0.00644 optical NITES
2455823.47854   0.02178 0.00644 optical NITES
2455823.47867   0.02034 0.00640 optical NITES
2455823.47879   0.03125 0.00655 optical NITES
2455823.47892   0.01661 0.00644 optical NITES
2455823.47905   0.02432 0.00648 optical NITES
2455823.47919   0.02738 0.00655 optical NITES
