# BJD-2450000   mag       e_mag      Flag   Phase    
  7071.811979   -0.0025   0.00048    0      0.61459  
  7071.832411   -0.0022   0.00048    1      0.62289  
  7071.852843   -0.0025   0.00048    0      0.63119  
  7071.873275   -0.0025   0.00048    0      0.63950  
  7071.893707   -0.0022   0.00048    0      0.64780  
  7071.914139   -0.0029   0.00048    0      0.65610  
  7071.934571   -0.0020   0.00048    1      0.66440  
  7071.955003   -0.0030   0.00048    0      0.67270  
  7071.975435   -0.0022   0.00048    0      0.68101  
  7071.995867   -0.0028   0.00048    0      0.68931  
  7072.016300   -0.0021   0.00048    0      0.69761  
  7072.036732   -0.0025   0.00048    1      0.70591  
  7072.057164   -0.0024   0.00048    0      0.71421  
  7072.077596   -0.0021   0.00048    0      0.72252  
  7072.098028   -0.0023   0.00048    0      0.73082  
  7072.118460   -0.0017   0.00048    0      0.73912  
  7072.138892   -0.0018   0.00048    1      0.74742  
  7072.159324   -0.0013   0.00048    0      0.75572  
  7072.179756   -0.0014   0.00048    0      0.76402  
  7072.200188   -0.0009   0.00048    0      0.77233  
  7072.220620   -0.0009   0.00048    0      0.78063  
  7072.241052   -0.0005   0.00048    1      0.78893  
  7072.261484   -0.0001   0.00048    0      0.79723  
  7072.281916   +0.0001   0.00048    0      0.80553  
  7072.302348   +0.0006   0.00048    0      0.81384  
  7072.322780   +0.0007   0.00048    0      0.82214  
  7072.343212   +0.0015   0.00048    1      0.83044  
  7072.363644   +0.0016   0.00048    0      0.83874  
  7072.384076   +0.0022   0.00048    0      0.84704  
  7072.404508   +0.0022   0.00048    0      0.85535  
  7072.424941   +0.0030   0.00048    0      0.86365  
  7072.445372   +0.0033   0.00048    1      0.87195  
  7072.465804   +0.0037   0.00048    0      0.88025  
  7072.486237   +0.0040   0.00048    0      0.88855  
  7072.506669   +0.0044   0.00048    0      0.89685  
  7072.527101   +0.0047   0.00048    0      0.90516  
  7072.547533   +0.0050   0.00048    1      0.91346  
  7072.567965   +0.0055   0.00048    0      0.92176  
  7072.588397   +0.0054   0.00048    0      0.93006  
  7072.608829   +0.0059   0.00048    0      0.93836  
  7072.629261   +0.0060   0.00048    0      0.94667  
  7072.649693   +0.0065   0.00048    1      0.95497  
  7072.670125   +0.0063   0.00048    1      0.96327  
  7072.690557   +0.0094   0.00048    5      0.97157  
  7072.710989   +0.0369   0.00048    5      0.97987  
  7072.731421   +0.0746   0.00048    5      0.98818  
  7072.751853   +0.0996   0.00048    5      0.99648  
  7072.772285   +0.0971   0.00048    5      0.00478  
  7072.792717   +0.0694   0.00048    5      0.01308  
  7072.813149   +0.0314   0.00048    5      0.02138  
  7072.833581   +0.0078   0.00048    5      0.02968  
  7072.854013   +0.0065   0.00048    1      0.03799  
  7072.874445   +0.0061   0.00048    0      0.04629  
  7072.894877   +0.0061   0.00048    0      0.05459  
  7072.915309   +0.0056   0.00048    0      0.06289  
  7072.935741   +0.0053   0.00048    0      0.07119  
  7072.956173   +0.0051   0.00048    1      0.07950  
  7072.976605   +0.0048   0.00048    0      0.08780  
  7072.997037   +0.0045   0.00048    0      0.09610  
  7073.017469   +0.0040   0.00048    0      0.10440  
  7073.037901   +0.0038   0.00048    0      0.11270  
  7073.058333   +0.0032   0.00048    1      0.12101  
  7073.078765   +0.0032   0.00048    0      0.12931  
